participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.completionlink,session._events_loaded,session.start_time,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.initialized_round,my_survey_static.1.player.time_start_round,my_survey_static.1.player.assigned_seed,my_survey_static.1.player.seed,my_survey_static.1.player.round_time_left,my_survey_static.1.player.round_timed_out,my_survey_static.1.player.waited_n_refresh,my_survey_static.1.player.topic_number,my_survey_static.1.player.interacted_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.partition_user,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.initialized_round,my_survey_static.2.player.time_start_round,my_survey_static.2.player.assigned_seed,my_survey_static.2.player.seed,my_survey_static.2.player.round_time_left,my_survey_static.2.player.round_timed_out,my_survey_static.2.player.waited_n_refresh,my_survey_static.2.player.topic_number,my_survey_static.2.player.interacted_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.partition_user,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.initialized_round,my_survey_static.3.player.time_start_round,my_survey_static.3.player.assigned_seed,my_survey_static.3.player.seed,my_survey_static.3.player.round_time_left,my_survey_static.3.player.round_timed_out,my_survey_static.3.player.waited_n_refresh,my_survey_static.3.player.topic_number,my_survey_static.3.player.interacted_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.partition_user,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.initialized_round,my_survey_static.4.player.time_start_round,my_survey_static.4.player.assigned_seed,my_survey_static.4.player.seed,my_survey_static.4.player.round_time_left,my_survey_static.4.player.round_timed_out,my_survey_static.4.player.waited_n_refresh,my_survey_static.4.player.topic_number,my_survey_static.4.player.interacted_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.partition_user,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
1,nt8c959t,130759.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:44:04.785547,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,1,,0.0,130759,1,1754941444.85,1,121.0,512.0,0,0.0,1.0,1.0,0.0,18.01,0.0,1.0,14.98,5627304981.0,1.0,16.0,1.0,8.47,3.0,1.0,48.85,1.0,0.0,11.46,1,1,1,,0.0,130759,1,1754941546.92,1,214.0,544.0,0,0.0,4.0,14.0,1.0,9.17,1.0,1.0,1.92,7425683190.0,3.0,45.0,0.0,7.35,3.0,1.0,39.08,-2.0,0.0,3.5,1,2,1,,0.0,130759,1,1754941608.26,1,123.0,568.0,0,0.0,3.0,143.0,1.0,3.59,1.0,1.0,1.58,4031679528.0,2.0,33.0,-1.0,3.84,3.0,1.0,25.26,-1.0,0.0,2.68,1,3,1,,0.0,130759,1,1754941645.52,1,212.0,570.0,0,0.0,2.0,1432.0,1.0,11.69,1.0,1.0,1.9,9875416032.0,1.0,28.0,2.0,2.71,3.0,1.0,16.08,1.0,1.0,18.69,1,4,1,,0.0,Independent,,Republican Party,1,1,1,,0.0,25-34,Female,,,1,1
2,uzavopko,832446.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:44:19.009721,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,2,,0.0,832446,1,1754941459.09,1,114.0,504.0,0,0.0,4.0,4.0,-2.0,14.97,-1.0,1.0,10.67,1257063948.0,0.0,41.0,-2.0,15.03,3.0,1.0,57.33,-1.0,1.0,30.73,1,1,2,,0.0,832446,1,1754941588.28,1,221.0,527.0,0,0.0,1.0,41.0,-1.0,7.6,-1.0,1.0,7.17,6475280319.0,4.0,12.0,-1.0,12.07,3.0,1.0,47.37,-1.0,0.0,5.92,1,2,2,,0.0,832446,1,1754941669.16,1,223.0,531.0,0,0.0,3.0,413.0,0.0,10.88,0.0,1.0,6.53,8134602579.0,3.0,34.0,0.0,9.36,0.0,1.0,44.63,0.0,0.0,5.52,1,3,2,,0.0,832446,1,1754941746.65,1,122.0,558.0,0,0.0,2.0,4132.0,-1.0,6.23,-1.0,1.0,3.94,5249187063.0,2.0,24.0,0.0,8.83,0.0,1.0,25.04,1.0,0.0,6.48,1,4,2,,0.0,Democrat,Moderate,,1,1,2,,0.0,18-24,Male,,,1,1
3,o0wx7u4k,748397.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:44:28.915631,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,3,,0.0,748397,1,1754941468.95,1,112.0,424.0,0,0.0,2.0,2.0,-2.0,16.59,-1.0,1.0,24.87,4257638019.0,0.0,24.0,0.0,18.47,3.0,1.0,118.6,0.0,0.0,11.28,1,1,3,,0.0,748397,1,1754941659.05,1,133.0,242.0,0,0.0,3.0,23.0,1.0,26.02,1.0,1.0,15.53,3450987621.0,1.0,34.0,0.0,37.55,3.0,1.0,280.28,0.0,0.0,11.25,1,2,3,,0.0,748397,1,1754942029.97,1,214.0,500.0,0,0.0,4.0,234.0,-1.0,19.54,-1.0,1.0,4.28,5189043267.0,0.0,45.0,0.0,4.17,3.0,1.0,73.08,-1.0,0.0,15.36,1,3,3,,0.0,748397,1,1754942146.71,1,211.0,526.0,0,0.0,1.0,2341.0,-1.0,8.33,-1.0,1.0,4.32,6314572089.0,0.0,16.0,1.0,11.71,3.0,1.0,51.99,0.0,0.0,2.4,1,4,3,,0.0,Democrat,Moderate,,1,1,3,,0.0,55-64,Female,,Thank you for such a thoughtful survey. ,1,1
4,xclor7qo,318448.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:45:04.791083,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,4,,0.0,318448,1,1754941504.9,1,213.0,416.0,0,0.0,3.0,3.0,-2.0,15.6,-1.0,1.0,23.43,534897162.0,0.0,30.0,-2.0,38.16,0.0,1.0,108.39,-2.0,0.0,7.49,1,1,4,,0.0,318448,1,1754941698.66,1,121.0,464.0,0,0.0,1.0,31.0,-2.0,11.22,-1.0,1.0,8.47,5620734981.0,3.0,10.0,-2.0,36.7,0.0,1.0,81.39,-2.0,0.0,3.92,1,2,4,,0.0,318448,1,1754941841.01,1,132.0,349.0,0,0.0,2.0,312.0,-2.0,8.3,-1.0,1.0,12.7,5471893260.0,3.0,21.0,-2.0,22.73,0.0,1.0,209.67,-2.0,0.0,4.27,1,3,4,,0.0,318448,1,1754942100.08,1,114.0,408.0,0,0.0,4.0,3124.0,-2.0,8.64,-1.0,1.0,5.37,1527063948.0,1.0,45.0,0.0,44.16,3.0,1.0,135.67,0.0,0.0,13.13,1,4,4,,0.0,Independent,,Democrat Party,1,1,4,,0.0,25-34,Female,,,1,1
5,23tf5y8r,208606.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:45:38.069639,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,5,,0.0,208606,1,1754941538.17,1,121.0,469.0,0,0.0,1.0,1.0,-1.0,16.86,-1.0,1.0,15.95,5627304981.0,5.0,10.0,-2.0,36.52,3.0,1.0,64.0,-1.0,1.0,13.12,1,1,5,,0.0,208606,1,1754941685.25,1,112.0,492.0,0,0.0,2.0,12.0,-1.0,20.15,-1.0,1.0,14.17,4257638019.0,5.0,23.0,-1.0,22.33,3.0,1.0,52.75,1.0,0.0,9.08,1,2,5,,0.0,208606,1,1754941804.39,1,134.0,496.0,0,0.0,4.0,124.0,-1.0,12.57,-1.0,1.0,14.05,4128957306.0,0.0,44.0,0.0,20.32,3.0,1.0,58.57,-1.0,0.0,6.17,1,3,5,,0.0,208606,1,1754941917.85,1,213.0,506.0,0,0.0,3.0,1243.0,0.0,16.53,0.0,1.0,5.38,2849701653.0,1.0,38.0,2.0,17.33,3.0,1.0,56.63,1.0,0.0,3.63,1,4,5,,0.0,Independent,,Democrat Party,1,1,5,,0.0,45-54,Male,,,1,1
6,k0sgyhwq,966671.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:45:47.497177,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,6,,0.0,966671,1,1754941547.55,1,133.0,491.0,0,0.0,3.0,3.0,2.0,10.5,1.0,1.0,15.31,3450976281.0,8.0,38.0,2.0,37.45,0.0,1.0,47.0,2.0,0.0,8.15,1,1,6,,0.0,966671,1,1754941666.28,1,211.0,458.0,0,0.0,1.0,31.0,2.0,11.3,1.0,1.0,15.36,9387462105.0,0.0,19.0,2.0,36.26,3.0,1.0,80.94,1.0,1.0,22.39,1,2,6,,0.0,966671,1,1754941832.86,1,112.0,305.0,0,0.0,2.0,312.0,2.0,4.9,1.0,1.0,2.82,4235768019.0,4.0,27.0,1.0,255.67,3.0,1.0,34.27,2.0,0.0,4.46,1,3,6,,0.0,966671,1,1754942135.33,1,234.0,306.0,0,0.0,4.0,3124.0,2.0,4.34,1.0,1.0,1.96,7142385906.0,1.0,41.0,-2.0,36.88,3.0,1.0,253.97,-2.0,0.0,3.75,1,4,6,,0.0,Independent,,Republican Party,1,1,6,,0.0,55-64,Male,,,1,1
7,pc13d08u,367683.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:46:00.727185,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,7,,0.0,367683,1,1754941560.78,1,114.0,255.0,0,0.0,4.0,4.0,-1.0,36.22,-1.0,1.0,87.5,1257063948.0,0.0,41.0,-2.0,70.84,3.0,1.0,152.45,-1.0,1.0,54.79,1,1,7,,0.0,367683,1,1754941963.01,1,131.0,435.0,0,0.0,1.0,41.0,-2.0,18.33,-1.0,1.0,7.82,1538204769.0,1.0,15.0,0.0,64.42,0.0,1.0,76.97,0.0,0.0,6.77,1,2,7,,0.0,367683,1,1754942137.62,1,123.0,192.0,0,0.0,3.0,413.0,-1.0,15.11,-1.0,1.0,40.76,4301679528.0,0.0,34.0,0.0,25.17,3.0,1.0,328.86,0.0,0.0,7.07,1,3,7,,0.0,367683,1,1754942554.91,1,132.0,449.0,0,0.0,2.0,4132.0,-2.0,5.75,-1.0,1.0,5.37,5471829360.0,0.0,25.0,0.0,29.83,3.0,1.0,112.67,0.0,0.0,5.6,1,4,7,,0.0,Independent,,Democrat Party,1,1,7,,0.0,55-64,Female,,,1,1
8,6lwttxqh,425070.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:46:05.543583,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,8,,0.0,425070,1,1754941566.01,1,132.0,451.0,0,0.0,2.0,2.0,-1.0,26.86,-1.0,1.0,22.66,5471892630.0,8.0,23.0,-1.0,37.83,0.0,1.0,64.26,-1.0,0.0,14.74,1,1,8,,0.0,425070,1,1754941734.85,1,111.0,503.0,0,0.0,1.0,21.0,2.0,33.04,1.0,1.0,4.64,4658130927.0,9.0,17.0,1.0,28.25,2.0,0.0,32.61,-1.0,0.0,33.86,1,2,8,,0.0,425070,1,1754941869.86,1,113.0,510.0,0,0.0,3.0,213.0,2.0,26.14,1.0,1.0,3.14,2857690431.0,3.0,37.0,1.0,7.8,2.0,1.0,54.66,2.0,0.0,27.48,1,3,8,,0.0,425070,1,1754941991.79,1,114.0,547.0,0,0.0,4.0,2134.0,-1.0,11.06,-1.0,1.0,4.15,1527063948.0,0.0,41.0,-2.0,6.48,2.0,1.0,32.18,-1.0,0.0,42.05,1,4,8,,0.0,Republican,Moderate,,1,1,8,,0.0,45-54,Female,,it is a well structured study,1,1
9,gxwsb5wd,312577.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:46:28.678057,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,9,,0.0,312577,1,1754941588.72,1,224.0,452.0,0,0.0,4.0,4.0,-2.0,21.21,-1.0,1.0,17.83,2065741398.0,0.0,42.0,-1.0,31.58,0.0,0.0,79.26,-2.0,0.0,8.89,1,1,9,,0.0,312577,1,1754941747.77,1,233.0,479.0,0,0.0,3.0,43.0,-2.0,27.27,-1.0,1.0,15.93,5081346297.0,2.0,38.0,2.0,26.98,3.0,0.0,53.18,0.0,0.0,4.13,1,2,9,,0.0,312577,1,1754941875.65,1,111.0,532.0,0,0.0,1.0,431.0,-2.0,17.73,-1.0,1.0,4.06,4658130792.0,5.0,13.0,-1.0,18.91,3.0,0.0,29.04,0.0,0.0,4.59,1,3,9,,0.0,312577,1,1754941951.12,1,232.0,541.0,0,0.0,2.0,4312.0,-2.0,12.17,-1.0,1.0,2.31,2014679853.0,0.0,22.0,-1.0,4.0,3.0,0.0,41.4,0.0,0.0,4.17,1,4,9,,0.0,Democrat,Strong,,1,1,9,,0.0,65+,Female,,,1,1
10,1qux2haa,901674.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 19:46:44.730228,1,,,0.0,5eabj7ab,,,,,0,My_survey_static,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,1,1754941444.5738468,10,,0.0,901674,1,1754941604.78,1,214.0,244.0,0,0.0,4.0,4.0,-1.0,73.53,-1.0,1.0,56.72,1589043267.0,1.0,45.0,0.0,83.79,1.0,0.0,144.42,-1.0,0.0,43.29,1,1,10,,0.0,901674,1,1754942007.22,1,223.0,510.0,0,0.0,3.0,43.0,0.0,42.71,0.0,1.0,21.47,4813602579.0,0.0,34.0,0.0,10.86,1.0,0.0,17.74,-1.0,0.0,68.11,1,2,10,,0.0,901674,1,1754942168.79,1,212.0,523.0,0,0.0,2.0,432.0,0.0,29.6,0.0,1.0,5.04,4169870325.0,0.0,24.0,0.0,11.09,2.0,0.0,32.94,0.0,0.0,7.91,1,3,10,,0.0,901674,1,1754942256.02,1,231.0,502.0,0,0.0,1.0,4321.0,-1.0,29.15,-1.0,1.0,14.33,4537298160.0,1.0,15.0,0.0,7.25,3.0,0.0,48.17,0.0,0.0,7.67,1,4,10,,0.0,Democrat,Moderate,,1,1,10,,0.0,55-64,Male,,,1,1
